date,adj_close
8/20/1985,188.08
8/21/1985,189.16
8/22/1985,187.36
8/23/1985,187.17
8/26/1985,187.31
8/27/1985,188.1
8/28/1985,188.83
8/29/1985,188.93
8/30/1985,188.63
9/2/1985,188.63
9/3/1985,187.91
9/4/1985,187.37
9/5/1985,187.27
9/6/1985,188.24
9/9/1985,188.25
9/10/1985,186.9
9/11/1985,185.03
9/12/1985,183.69
9/13/1985,182.91
9/16/1985,182.88
9/17/1985,181.36
9/18/1985,181.71
9/19/1985,183.39
9/20/1985,182.05
9/23/1985,184.3
9/24/1985,182.62
9/25/1985,180.66
9/26/1985,181.29
9/27/1985,181.29
9/30/1985,182.08
10/1/1985,185.07
10/2/1985,184.06
10/3/1985,184.36
10/4/1985,183
10/7/1985,181.87
10/8/1985,181.87
10/9/1985,182.52
10/10/1985,182.78
10/11/1985,184.28
10/14/1985,186.37
10/15/1985,186.08
10/16/1985,187.98
10/17/1985,187.66
10/18/1985,187.04
10/21/1985,186.96
10/22/1985,188.04
10/23/1985,189.09
10/24/1985,188.5
10/25/1985,187.52
10/28/1985,187.76
10/29/1985,189.23
10/30/1985,190.07
10/31/1985,189.82
11/1/1985,191.48
11/4/1985,191.25
11/5/1985,192.37
11/6/1985,192.76
11/7/1985,192.62
11/8/1985,193.72
11/11/1985,197.29
11/12/1985,198.08
11/13/1985,197.1
11/14/1985,199.06
11/15/1985,198.11
11/18/1985,198.7
11/19/1985,198.67
11/20/1985,198.99
11/21/1985,201.43
11/22/1985,201.52
11/25/1985,200.35
11/26/1985,200.67
11/27/1985,202.54
11/28/1985,202.54
11/29/1985,202.17
12/2/1985,200.46
12/3/1985,200.86
12/4/1985,204.23
12/5/1985,203.88
12/6/1985,202.99
12/9/1985,204.25
12/10/1985,204.4
12/11/1985,206.31
12/12/1985,206.73
12/13/1985,209.94
12/16/1985,212.02
12/17/1985,210.65
12/18/1985,209.81
12/19/1985,210.02
12/20/1985,210.94
12/23/1985,208.57
12/24/1985,207.14
